movie,similar_movie
Toy Story ,Adventures of Rocky and Bullwinkle
Toy Story ,Antz 
Toy Story ,Toy Story 2 
Toy Story ,Emperor's New Groove
Jumanji ,Escape to Witch Mountain 
Jumanji ,Chronicles of Narnia: The Lion
Jumanji ,Chronicles of Narnia: Prince Caspian
Jumanji ,Alice Through the Looking Glass 
Jumanji ,Darby O'Gill and the Little People 
Grumpier Old Men ,I'll Be Home For Christmas 
Grumpier Old Men ,Guru
Grumpier Old Men ,Hard Promises 
Grumpier Old Men ,40 Days and 40 Nights 
Grumpier Old Men ,10 
Waiting to Exhale ,Jalla! Jalla! 
Waiting to Exhale ,Terminal
Waiting to Exhale ,10 Items or Less 
Waiting to Exhale ,For Roseanna (Roseanna's Grave) 
Waiting to Exhale ,Cooler
Father of the Bride Part II ,Andrew Dice Clay: Dice Rules 
Father of the Bride Part II ,Night Shift 
Father of the Bride Part II ,Joe Dirt 2: Beautiful Loser 
Father of the Bride Part II ,I'm Starting From Three (Ricomincio da Tre) 
Father of the Bride Part II ,My Boyfriend's Back 
Heat ,Fast and the Furious
Heat ,U.S. Marshals 
Heat ,Blitz 
Heat ,Shepherd: Border Patrol
Heat ,Takers 
Sabrina ,I'll Be Home For Christmas 
Sabrina ,Guru
Sabrina ,Hard Promises 
Sabrina ,40 Days and 40 Nights 
Sabrina ,10 
Tom and Huck ,Little Vampire
Tom and Huck ,Spy Kids 2: The Island of Lost Dreams 
Tom and Huck ,Benji 
Tom and Huck ,Amazing Panda Adventure
Tom and Huck ,In Search of the Castaways 
Sudden Death ,Tournament
Sudden Death ,Best of the Best 3: No Turning Back 
Sudden Death ,Ip Man 2 
Sudden Death ,Hunted
Sudden Death ,Lionheart 
GoldenEye ,Quantum of Solace 
GoldenEye ,Goldfinger 
GoldenEye ,View to a Kill
GoldenEye ,Surviving the Game 
GoldenEye ,Rock
"American President, The ",Jalla! Jalla! 
"American President, The ",Terminal
"American President, The ",10 Items or Less 
"American President, The ",For Roseanna (Roseanna's Grave) 
"American President, The ",Cooler
Dracula: Dead and Loving It ,Attack of the Killer Tomatoes! 
Dracula: Dead and Loving It ,Creep 2 
Dracula: Dead and Loving It ,Bride of Re-Animator 
Dracula: Dead and Loving It ,Once Bitten 
Dracula: Dead and Loving It ,Bubba Ho-tep 
Balto ,Junior and Karlson 
Balto ,Ice Age: A Mammoth Christmas 
Balto ,101 Dalmatians (One Hundred and One Dalmatians) 
Balto ,Phineas and Ferb the Movie: Across the 2nd Dimension 
Balto ,Karlson Returns 
Nixon ,French Lieutenant's Woman
Nixon ,Camera Buff (Amator) 
Nixon ,Children Are Watching Us
Nixon ,Return of Martin Guerre
Nixon ,Honey (Miele) 
Cutthroat Island ,King Solomon's Mines 
Cutthroat Island ,Host
Cutthroat Island ,Captain Blood 
Cutthroat Island ,Adventures of Robin Hood
Casino ,Irrational Man 
Casino ,Mean Streets 
Casino ,Pride and Glory 
Casino ,Felon 
Casino ,Godfather
Sense and Sensibility ,Crazy/Beautiful 
Sense and Sensibility ,Memoirs of a Geisha 
Sense and Sensibility ,To Gillian on Her 37th Birthday 
Sense and Sensibility ,Beautiful Thing 
Sense and Sensibility ,Girl on the Bridge
Four Rooms ,Andrew Dice Clay: Dice Rules 
Four Rooms ,Night Shift 
Four Rooms ,Joe Dirt 2: Beautiful Loser 
Four Rooms ,I'm Starting From Three (Ricomincio da Tre) 
Four Rooms ,My Boyfriend's Back 
Ace Ventura: When Nature Calls ,Andrew Dice Clay: Dice Rules 
Ace Ventura: When Nature Calls ,Night Shift 
Ace Ventura: When Nature Calls ,Joe Dirt 2: Beautiful Loser 
Ace Ventura: When Nature Calls ,I'm Starting From Three (Ricomincio da Tre) 
Ace Ventura: When Nature Calls ,My Boyfriend's Back 
Money Train ,Wasabi 
Money Train ,Metro 
Money Train ,Last Boy Scout
Money Train ,Bad Boys 
Get Shorty ,Perfect Crime
Get Shorty ,The Voices 
Get Shorty ,Snatch 
Get Shorty ,Life Eternal 
Get Shorty ,Man Who Knew Too Little
Copycat ,Saw VI 
Copycat ,Bird with the Crystal Plumage
Copycat ,Identity 
Copycat ,Book of Shadows: Blair Witch 2 
Assassins ,Fast and the Furious
Assassins ,U.S. Marshals 
Assassins ,Blitz 
Assassins ,Shepherd: Border Patrol
Assassins ,Takers 
Powder ,Unbreakable 
Powder ,Metropolis 
Powder ,I Origins 
Powder ,Monsters 
Powder ,Man Who Fell to Earth
Leaving Las Vegas ,Crazy/Beautiful 
Leaving Las Vegas ,Memoirs of a Geisha 
Leaving Las Vegas ,To Gillian on Her 37th Birthday 
Leaving Las Vegas ,Beautiful Thing 
Leaving Las Vegas ,Girl on the Bridge
Othello ,French Lieutenant's Woman
Othello ,Camera Buff (Amator) 
Othello ,Children Are Watching Us
Othello ,Return of Martin Guerre
Othello ,Honey (Miele) 
Now and Then ,My Dog Skip 
Now and Then ,Secret Garden
Now and Then ,I Remember Mama 
Now and Then ,Dreamer: Inspired by a True Story 
Now and Then ,National Velvet 
Persuasion ,Crazy/Beautiful 
Persuasion ,Memoirs of a Geisha 
Persuasion ,To Gillian on Her 37th Birthday 
Persuasion ,Beautiful Thing 
